"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Baldwin",2019,166,140,26,0,0,0,0,80,54,40,0,0,139,0,27,0
"Alabama","Clay",2019,63,58,5,0,0,0,0,67,49,29,0,0,0,0,63,0
"Alabama","Colbert",2019,171,161,10,0,0,0,0,61,49,38,0,0,138,0,33,0
"Alabama","DeKalb",2019,208,188,20,0,0,0,0,77,50,39,0,0,187,0,21,0
"Alabama","Elmore",2019,148,137,11,0,0,0,0,100,49,41,0,0,148,0,0,0
"Alabama","Etowah",2019,170,144,26,0,0,0,0,90,54,43,0,0,136,0,34,0
"Alabama","Houston",2019,170,150,20,0,0,0,0,77,51,38,0,0,130,0,40,0
"Alabama","Jefferson",2019,121,59,61,0,1,0,0,200,67,51,1,1,32,5,81,1
"Alabama","Madison",2019,181,130,51,0,0,0,0,90,61,44,0,0,89,0,92,0
"Alabama","Mobile",2019,211,158,53,0,0,0,0,79,61,42,0,0,90,3,118,0
"Alabama","Montgomery",2019,212,103,108,1,0,0,0,122,67,51,0,0,40,0,172,0
"Alabama","Morgan",2019,212,176,36,0,0,0,0,87,54,41,0,0,116,0,96,0
"Alabama","Russell",2019,212,153,59,0,0,0,0,84,60,42,0,0,70,0,142,0
"Alabama","Shelby",2019,206,184,21,1,0,0,0,119,51,37,0,0,148,58,0,0
"Alabama","Sumter",2019,207,196,11,0,0,0,0,62,47,34,0,0,109,8,90,0
"Alabama","Tuscaloosa",2019,155,146,9,0,0,0,0,59,47,35,0,0,111,0,44,0
"Alaska","Anchorage ",2019,181,140,39,2,0,0,0,136,62,27,2,0,0,0,112,67
"Alaska","Bethel ",2019,156,154,2,0,0,0,0,62,28,10,0,0,0,0,86,70
"Alaska","Denali ",2019,237,236,1,0,0,0,0,54,45,38,0,0,237,0,0,0
"Alaska","Fairbanks North Star ",2019,182,117,48,9,8,0,0,172,95,39,1,16,80,1,81,3
"Alaska","Juneau ",2019,180,143,37,0,0,0,0,79,56,25,0,0,0,0,170,10
"Alaska","Matanuska-Susitna ",2019,181,155,25,1,0,0,0,116,55,18,0,0,0,0,137,44
"Arizona","Apache",2019,271,271,0,0,0,0,0,39,20,11,0,0,0,0,18,253
"Arizona","Cochise",2019,273,176,97,0,0,0,0,97,71,47,0,0,221,0,30,22
"Arizona","Coconino",2019,273,209,64,0,0,0,0,80,61,46,0,0,273,0,0,0
"Arizona","Gila",2019,273,79,149,39,6,0,0,187,112,67,0,0,197,74,0,2
"Arizona","La Paz",2019,272,218,54,0,0,0,0,77,61,45,0,0,268,0,4,0
"Arizona","Maricopa",2019,274,74,176,24,0,0,0,147,98,62,1,1,207,0,31,34
"Arizona","Mohave",2019,273,268,5,0,0,0,0,69,29,15,0,0,0,0,0,273
"Arizona","Navajo",2019,270,203,66,1,0,0,0,112,61,45,0,0,237,0,0,33
"Arizona","Pima",2019,274,153,119,2,0,0,0,103,74,49,1,0,218,0,7,48
"Arizona","Pinal",2019,273,106,146,10,1,3,7,886,94,60,0,0,166,0,18,89
"Arizona","Santa Cruz",2019,269,227,41,1,0,0,0,120,56,29,0,0,0,0,183,86
"Arizona","Yavapai",2019,266,211,55,0,0,0,0,87,58,44,0,0,266,0,0,0
"Arizona","Yuma",2019,273,195,76,2,0,0,0,110,71,46,0,0,219,0,26,28
"Arkansas","Arkansas",2019,89,74,15,0,0,0,0,77,55,32,0,0,0,0,89,0
"Arkansas","Ashley",2019,90,76,14,0,0,0,0,62,53,34,0,0,0,0,90,0
"Arkansas","Benton",2019,146,120,26,0,0,0,0,83,56,35,0,0,0,0,146,0
"Arkansas","Clark",2019,205,199,6,0,0,0,0,61,46,33,0,0,205,0,0,0
"Arkansas","Craighead",2019,49,43,6,0,0,0,0,61,53,30,0,0,0,0,49,0
"Arkansas","Crittenden",2019,273,206,66,1,0,0,0,101,58,43,0,2,168,0,103,0
"Arkansas","Garland",2019,91,72,19,0,0,0,0,67,54,37,0,0,0,0,91,0
"Arkansas","Jackson",2019,87,76,11,0,0,0,0,73,53,35,0,0,0,0,87,0
"Arkansas","Newton",2019,273,256,16,1,0,0,0,129,49,37,0,0,273,0,0,0
"Arkansas","Polk",2019,269,226,42,1,0,0,0,119,56,40,0,0,234,0,35,0
"Arkansas","Pulaski",2019,274,184,90,0,0,0,0,79,59,45,1,0,121,0,152,0
"Arkansas","Union",2019,211,174,37,0,0,0,0,98,54,35,0,0,0,0,211,0
"Arkansas","Washington",2019,273,197,76,0,0,0,0,96,58,44,0,0,150,0,123,0
"California","Alameda",2019,244,187,52,5,0,0,0,150,60,40,1,19,123,0,101,0
"California","Amador",2019,148,146,2,0,0,0,0,54,44,36,0,0,148,0,0,0
"California","Butte",2019,182,144,37,1,0,0,0,102,58,40,0,0,95,0,87,0
"California","Calaveras",2019,150,143,7,0,0,0,0,78,48,37,0,0,135,0,15,0
"California","Colusa",2019,266,244,22,0,0,0,0,81,48,34,0,0,115,0,143,8
"California","Contra Costa",2019,244,198,41,4,1,0,0,194,58,41,1,5,176,2,60,0
